="Dependent Variable: Intrafirm Import Share"
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)"
="Intensity Definition: Payroll, Environmental Index:";="-";="-";="EPSI";="EPSI";="EPSI";="EPSI";="HLT";="HLT";="HLT";="HLT"
="log ECSP";="";="-0.0207*";="-0.0235";="-0.0177";="-0.000861";="";="-0.0232";="-0.0262*";="-0.0157";=""
="";="";="(0.0118)";="(0.0143)";="(0.0141)";="(0.0130)";="";="(0.0161)";="(0.0154)";="(0.0132)";=""
="log ECSP X ENVI";="";="";="0.172";="-0.0734";="0.0744";="0.228";="";="";="";=""
="";="";="";="(0.415)";="(0.429)";="(0.428)";="(0.444)";="";="";="";=""
="log ECSP X ENVI";="";="";="";="";="";="";="0.00465";="0.0107";="0.0249";="0.0293*"
="";="";="";="";="";="";="";="(0.0157)";="(0.0154)";="(0.0157)";="(0.0150)"
="log R&D Intensity";="0.0196***";="0.0185***";="0.0258***";="0.0258***";="0.0171***";="";="0.0186***";="0.0196***";="0.0133***";=""
="";="(0.00443)";="(0.00444)";="(0.00545)";="(0.00544)";="(0.00472)";="";="(0.00447)";="(0.00444)";="(0.00403)";=""
="log Skill Intensity";="0.0590**";="0.0605**";="0.0560";="0.0560";="0.0221";="";="0.0595**";="0.0625";="0.0471";=""
="";="(0.0282)";="(0.0285)";="(0.0378)";="(0.114)";="(0.118)";="";="(0.0287)";="(0.0546)";="(0.0573)";=""
="log Other Machinery Intensity";="0.0483***";="0.0592***";="0.0731***";="0.150";="0.142";="";="0.0596***";="-0.0158";="0.0433";=""
="";="(0.0103)";="(0.0104)";="(0.0132)";="(0.0927)";="(0.0910)";="";="(0.0104)";="(0.0503)";="(0.0489)";=""
="log Building Intensity";="-0.0128*";="-0.0113";="-0.0163**";="-0.0953";="-0.0843";="";="-0.0112";="-0.0237";="-0.0266";=""
="";="(0.00655)";="(0.00690)";="(0.00820)";="(0.0736)";="(0.0716)";="";="(0.00694)";="(0.0406)";="(0.0386)";=""
="log Auto Intensity";="-0.0158***";="-0.0153***";="-0.0213***";="-0.112**";="-0.109**";="";="-0.0152***";="-0.0229";="-0.0367";=""
="";="(0.00511)";="(0.00493)";="(0.00708)";="(0.0542)";="(0.0510)";="";="(0.00496)";="(0.0247)";="(0.0273)";=""
="log Computer Intensity";="-0.00749";="-0.0102";="0.000915";="-0.00469";="0.00414";="";="-0.0102";="-0.0322";="-0.0317";=""
="";="(0.00857)";="(0.00852)";="(0.0114)";="(0.0812)";="(0.0815)";="";="(0.00856)";="(0.0458)";="(0.0492)";=""
="Contractibility";="-0.0606***";="-0.0446**";="-0.0730***";="-0.110**";="-0.112**";="";="-0.0461**";="-0.00564";="-0.0144";=""
="";="(0.0204)";="(0.0199)";="(0.0241)";="(0.0460)";="(0.0467)";="";="(0.0200)";="(0.0313)";="(0.0321)";=""
="log Skill Intensity X log Skill Abundance";="";="";="";="0.0000478";="-0.000191";="0.00444";="";="0.000889";="-0.00920";="-0.00137"
="";="";="";="";="(0.0485)";="(0.0484)";="(0.0474)";="";="(0.0254)";="(0.0256)";="(0.0237)"
="log Other Machinery Intensity X log Capital Abundance";="";="";="";="-0.00622";="-0.00872";="-0.00850";="";="0.00654";="-0.000948";="-0.00246"
="";="";="";="";="(0.00760)";="(0.00741)";="(0.00710)";="";="(0.00412)";="(0.00416)";="(0.00422)"
="log Building Intensity X log Capital Abundance";="";="";="";="0.00641";="0.00640";="0.00510";="";="0.000982";="0.00181";="0.00195"
="";="";="";="";="(0.00601)";="(0.00582)";="(0.00549)";="";="(0.00341)";="(0.00324)";="(0.00301)"
="log Auto Intensity X log Capital Abundance";="";="";="";="0.00737";="0.00741*";="0.00614";="";="0.000625";="0.00232";="0.00194"
="";="";="";="";="(0.00453)";="(0.00420)";="(0.00388)";="";="(0.00215)";="(0.00234)";="(0.00214)"
="log Computer Intensity X log Capital Abundance";="";="";="";="0.000454";="-0.000844";="0.000436";="";="0.00216";="0.00140";="0.00172"
="";="";="";="";="(0.00663)";="(0.00664)";="(0.00651)";="";="(0.00374)";="(0.00406)";="(0.00355)"
="Contractibility X Rule of Law";="";="";="";="0.0519";="0.0300";="0.0297";="";="-0.0756*";="-0.0800*";="-0.0750*"
="";="";="";="";="(0.0650)";="(0.0645)";="(0.0635)";="";="(0.0443)";="(0.0444)";="(0.0443)"
="Dispersion";="";="";="";="";="0.0590**";="";="";="";="0.0694***";=""
="";="";="";="";="";="(0.0261)";="";="";="";="(0.0195)";=""
="1(sigma>median)=0 X DUse_TUse";="";="";="";="";="-0.138***";="";="";="";="-0.139***";=""
="";="";="";="";="";="(0.0440)";="";="";="";="(0.0349)";=""
="1(sigma>median)=1 X DUse_TUse";="";="";="";="";="-0.126***";="";="";="";="-0.0983***";=""
="";="";="";="";="";="(0.0376)";="";="";="";="(0.0288)";=""
="1(sigma>median)=1";="";="";="";="";="-0.0103";="";="";="";="-0.0337";=""
="";="";="";="";="";="(0.0343)";="";="";="";="(0.0270)";=""
="External Finance Dependence";="";="";="";="";="-0.0134";="";="";="";="-0.0103";=""
="";="";="";="";="";="(0.0225)";="";="";="";="(0.0160)";=""
="Asset Tangibility";="";="";="";="";="-0.266**";="";="";="";="-0.207**";=""
="";="";="";="";="";="(0.113)";="";="";="";="(0.102)";=""
="External Finance Dependence X Private Credit / GDP";="";="";="";="";="0.000213*";="0.000194";="";="";="0.000210***";="0.000242***"
="";="";="";="";="";="(0.000126)";="(0.000124)";="";="";="(0.0000795)";="(0.0000800)"
="Asset Tangibility X Private Credit / GDP";="";="";="";="";="0.00121**";="0.00134**";="";="";="0.000418";="0.000650"
="";="";="";="";="";="(0.000587)";="(0.000618)";="";="";="(0.000537)";="(0.000518)"
="Sales Volatility";="";="";="";="";="0.239";="";="";="";="0.219";=""
="";="";="";="";="";="(0.310)";="";="";="";="(0.248)";=""
="Sales Volatility X Labor Market Flexibility";="";="";="";="";="-0.302";="-0.241";="";="";="-0.172";="-0.117"
="";="";="";="";="";="(0.390)";="(0.379)";="";="";="(0.278)";="(0.252)"
="Intermediation";="";="";="";="";="-0.0515";="";="";="";="0.0616";=""
="";="";="";="";="";="(0.124)";="";="";="";="(0.0863)";=""
="Intermediation X Rule of Law";="";="";="";="";="-0.266";="-0.264";="";="";="-0.402***";="-0.361***"
="";="";="";="";="";="(0.175)";="(0.170)";="";="";="(0.129)";="(0.126)"
="Constant";="0.339***";="0.261***";="0.419***";="0.419***";="0.460***";="0.919**";="0.264***";="0.297***";="0.309***";="0.689***"
="";="(0.0461)";="(0.0704)";="(0.0794)";="(0.0794)";="(0.102)";="(0.426)";="(0.0709)";="(0.0691)";="(0.0841)";="(0.244)"
="Country-Year FE";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes"
="Industry-Year FE";="No";="No";="No";="No";="No";="Yes";="No";="No";="No";="Yes"
="IO2007 Industry Clusters";="210";="208";="206";="206";="200";="210";="208";="208";="201";="210"
="Adj. R2";="0.163";="0.164";="0.155";="0.156";="0.193";="0.248";="0.165";="0.168";="0.197";="0.235"
="Observations";="128400";="127747";="34620";="34620";="33958";="36148";="125336";="109094";="96846";="103604"
